"Parameter","Description","Instrument Count","List of Instruments"
"Direction Toggle (forward/reverse)","Switches playback or motion between forward and reverse direction.","12","Algorithmic Mazes; Hyper; Julia; Klein Bottle; L-System; Lattice; Möbius; Ouroboros; Ourorourobouroboros; Paths; Solid; Spiral"
"Restart / Restart-loop Button","Restarts the current algorithm or animation loop from the beginning.","11","Automatapoeia; DJ Dijkstra; Enveloper; Escape Dust; Euclidean Pulse; Hanoi Carillon; Alpha-Beta Minimax; N-Queens Backtracker; Rubix Cube Sequencer; Sliding Puzzle; Sorting"
"Input Level / Trim (gain)","Adjusts how strongly the incoming microphone or file-loaded audio signal is amplified before processing.","10","Alien Larynx; Candy Coil Delay; Graph Delay; L-Systems; L-system Delay; Micromorph; Plugazoid; Sandy Syrup Delay; Slippery Resynthesis; Throatazoid"
"Position/Growth/Frontier Position Slider","Manually scrubs the current position/progress through the build or trace.","9","Algorithmic Mazes; DJ Dijkstra; Euclidean Pulse; Hanoi Carillon; L-System; L-System Drum Machine; Alpha-Beta Minimax; N-Queens Backtracker; Paths"
"Animal/Character/Body Preset Select","Chooses a preset animal/character body or pose configuration.","8","Cascading PM; Chaotic PM; Hybrinx; Recursive PM; Roach Synth; Spider Synth; Syrinx; Tongued Beasts"
"Seed / Reseed / Randomize Button","Generates a new random seed to regenerate the pattern or scene.","8","Algorithmic Mazes; Graph Delay; Graph Drum Machine; Graph Synth; L-system Delay; Paths; Roach Synth; Spider Synth"
"Tempo Slider","Sets the transport/sequencer playback speed in beats per minute.","8","Creaturazoid; Entanglement Dance; Hocket Luigi; Rattle Snake Skin; Quadruped; Rubix Cube Sequencer; Sliding Puzzle; Yoyodyne"
"Swing Slider","Adds rhythmic swing (uneven timing) to the beat.","7","DJ Dijkstra; Euclidean Pulse; Hanoi Carillon; Alpha-Beta Minimax; N-Queens Backtracker; Rubix Cube Sequencer; Sliding Puzzle"
"Recursion/Iterations Depth Slider","Sets how many recursive iterations or generations the algorithm runs.","7","Chaotic FM; Chaotic PM; L-System; L-System Drum Machine; Linebreaker; Recursive FM; Recursive PM"
"Stereo Spread Slider","Sets how widely the sound is spread across the stereo field.","7","Drum Roll Please!; Graph Delay; L-System; Lumber Loops; Ouroboros; Ouroborousel; Ourorourobouroboros"
"Interactive Canvas/Stage (pointer drag)","Lets the user drag elements on the visual canvas to reposition or manipulate them.","6","Graph Delay; Hybrinx; Klein Bottle; Möbius; Throatazoid; Tongued Beasts"
"Brightness/Lowpass Cutoff Slider","Sets the lowpass filter cutoff frequency, controlling the tone's brightness.","6","Drum Roll Please!; Ouroboros; Ouroboros Borealis; Ouroborousel; Ourorourobouroboros; Shepard–Risset"
"Chunk Length Slider","Sets the duration of each audio processing/render chunk.","6","SIMD 303; srtuss Master; Striped Staircase; WebGPU 303; WebGPU Chiptune; GPU Shader Synths"
"Root Note Slider","Sets the root/tonic note that pitches are derived from.","6","Cascading FM; Cascading PM; Chaotic FM; Chaotic PM; Recursive FM; Recursive PM"
"DSP-reference Collapsible Panel","Expands to show read-only documentation about the audio signal path (no controls).","6","Cascading FM; Cascading PM; Chaotic FM; Chaotic PM; Recursive FM; Recursive PM"
"Straighten Edges Button","Straightens the tile/lattice edges into a regular layout.","5","Lattice; Lattice Drum Machine; Spiral; Spiral Drum Machine; Tiles"
"Stop Button","Stops playback and returns the playhead to the start.","5","Morphazoid Composer; Rattle Snake Skin; Pink Trombonazoid; Playhead Paint; Vocalzoid"
"Undo (Move) Button","Reverts the last move or edit made.","5","Hyper Rubix; Rattle Snake Skin; Playhead Paint; Rubix Cube Sequencer; Sliding Puzzle"
"Loop Search Checkbox","Toggles whether the search/pathfinding algorithm loops continuously.","5","DJ Dijkstra; Euclidean Pulse; Hanoi Carillon; Alpha-Beta Minimax; N-Queens Backtracker"
"Frontier Pressure/Intensity Slider","Sets the intensity/loudness of the algorithm's active frontier or search edge.","5","DJ Dijkstra; Euclidean Pulse; Hanoi Carillon; Alpha-Beta Minimax; N-Queens Backtracker"
"Weight/Grain/Roughness Slider","Adjusts the roughness/grain texture applied to the sound.","5","DJ Dijkstra; Euclidean Pulse; Hanoi Carillon; Alpha-Beta Minimax; N-Queens Backtracker"
"Path/Space Resonance Slider","Adjusts a resonance/reverb-like spatial quality applied to the path sound.","5","DJ Dijkstra; Euclidean Pulse; Hanoi Carillon; Alpha-Beta Minimax; N-Queens Backtracker"
"Distance Span / Pitch Span Slider","Sets how many octaves the distance-to-pitch mapping spans.","5","DJ Dijkstra; Euclidean Pulse; Hanoi Carillon; Alpha-Beta Minimax; N-Queens Backtracker"
"Amplitude Envelope Editor (draggable)","Lets the user draw/drag a custom amplitude envelope shape.","4","Hyper; Lattice; Solid; Spiral"
"Pitch Floor/Source Select","Sets the lowest pitch or selects what data source drives pitch.","4","Penrose Tilings; Prime Sieve; Spiral; Striped Staircase"
"Turn Angle/Asymmetry Slider","Sets the branching turn angle or left/right asymmetry of the pattern.","4","Graph Delay; L-System; L-System Drum Machine; L-system Delay"
"Mutate / Randomize Anatomy Button","Randomizes the creature's anatomy/body structure.","4","Hybrinx; Hyper-Syrinx; Wheel of Organs; Tongued Beasts"
"Breath/Lung Pressure Control","Adjusts simulated lung/breath pressure driving the vocal sound source.","4","Monstrozoid; Creaturazoid; Syrinx; Tongued Beasts"
"Center/Starting Pitch or Frequency Slider","Sets the central or starting pitch/frequency for the sound.","4","Chaotic PM; Feral Fairy Ferris Ferry; Ouroboros; Recursive PM"
"Amplitude ADSR Sliders","Sets the attack, decay, sustain, and release shape of the note's volume envelope.","4","Chaotic FM; Chaotic PM; Recursive FM; Recursive PM"
"Glide Time/Mode","Sets how notes glide (portamento) between pitches, and when gliding is applied.","4","Chaotic FM; Chaotic PM; Recursive FM; Recursive PM"
"Pitch-bend Range Slider","Sets how many semitones the pitch-bend control can shift the pitch.","4","Chaotic FM; Chaotic PM; Recursive FM; Recursive PM"
"Frequency/Amount/Index Divisor Slider","Divides the modulation frequency, amount, or index at each recursive stage.","4","Chaotic FM; Chaotic PM; Recursive FM; Recursive PM"
"Settle/Advance Step Button","Advances the algorithm by one discrete step/move.","4","Euclidean Pulse; Hanoi Carillon; Alpha-Beta Minimax; N-Queens Backtracker"
"Experiment Readout (status display)","Displays read-only status information about the current sound experiment.","4","Chladni Plate; Gear Ratio Drums; RISSET-MOIRE; Spring Choir"
"Loop / Ping-pong Motion Toggle","Switches the playhead's motion between looping and back-and-forth bouncing.","3","L-System Drum Machine; Shape; Tiles"
"Clear Button","Clears drawn marks, notes, or entered data.","3","Hocket Luigi; Rattle Snake Skin; Playhead Paint"
"Prototile Select","Chooses which tile shape is used to build the tiling pattern.","3","Lattice; Lattice Drum Machine; Spiral"
"X/Y/Z Rotation Sliders","Rotates the 3D object independently around the X, Y, and Z axes.","3","Klein Bottle; Möbius; Solid Drum Machine"
"Undo/Open Graph Switches","Reopens all closed graph edge switches at once.","3","Graph Delay; Graph Drum Machine; Graph Synth"
"Reseed button","Regenerates the pattern using a new random seed.","3","Automatapoeia; Hyper Rubix; Kinetic Hull"
"Height-to-tuning Slider","Sets how much vertical height is mapped to pitch/tuning.","3","Hyper Drum Machine; Lattice Drum Machine; Shape Drum Machine"
"Panic Button (all-notes-off)","Immediately silences all currently sounding notes/voices.","3","Graph Delay; L-system Delay; Throatazoid"
"Workgroup Size Select","Chooses the GPU compute workgroup size used for rendering/processing.","3","SIMD 303; WebGPU Chiptune; GPU Shader Synths"
"View Controls (camera preset switch)","Switches the 3D camera to a preset viewing angle.","2","Roach Synth; Spider Synth"
"L/R Side Toggle","Switches the view between the left and right side of the model.","2","Roach Synth; Spider Synth"
"Fit Camera Button","Resets/fits the camera view to frame the whole model.","2","Roach Synth; Spider Synth"
"Zoom In/Out Buttons","Zooms the camera view in or out.","2","Roach Synth; Spider Synth"
"Axis Select","Constrains dragging/movement to a chosen axis.","2","Roach Synth; Spider Synth"
"3D Touch Toggle","Enables or disables 3D touch/haptic interaction.","2","Roach Synth; Spider Synth"
"Joints Visibility Toggle","Shows or hides the visual joint markers on the model.","2","Roach Synth; Spider Synth"
"Say It / Speak Button","Triggers the synthesized voice to speak the entered phrase.","2","Roach Synth; Spider Synth"
"Animation preset select","Chooses a preset animation sequence to play.","2","Roach Synth; Spider Synth"
"Output Peak Meter (readout)","Displays a real-time readout of the peak output audio level.","2","Roach Synth; Spider Synth"
"CC-macro Route Selects","Assigns which parameters each MIDI CC macro controls.","2","Roach Synth; Spider Synth"
"Playhead Count Stepper","Increases or decreases the number of active playheads.","2","Shapes; Shape"
"Density Slider","Sets how densely the tiles/pattern subdivide or pack.","2","Ouroboros; Tiles"
"Cycle-behavior Select","Chooses what happens when playback reaches the end of its cycle.","2","Algorithmic Mazes; Paths"
"Export SVG Button","Exports the current drawing/pattern as an SVG file.","2","Algorithmic Mazes; Paths"
"Playhead Direction Toggle","Switches the playhead's travel direction between clockwise and counterclockwise.","2","Shape; Shape Drum Machine"
"Sides/Points Slider","Sets the number of sides or vertex points on the shape.","2","Morphazoidical; Shape"
"Stretch/Aspect Slider","Stretches the shape along one axis, changing its aspect ratio.","2","Morphazoidical; Shape"
"Skew Slider","Skews/shears the shape's geometry.","2","Morphazoidical; Shape"
"Palette Select","Chooses the color palette used to render the visuals.","2","Escher; Penrose Tilings"
"Tile Outlines Checkbox","Toggles whether tile outlines are drawn.","2","Escher; Penrose Tilings"
"3-preset Button Grid","Loads one of three named preset configurations.","2","Klein Bottle; Möbius"
"Curve Voice Select","Chooses the synthesis voice used to sonify the curve.","2","Klein Bottle; Möbius"
"Drag-target Switch","Chooses which element (shape or head) responds to canvas dragging.","2","Klein Bottle; Möbius"
"Graph Shape Select","Chooses the topology/shape of the generated node graph.","2","Graph Drum Machine; Graph Synth"
"Pulse Interval Select","Sets how often (in beats) a pulse/trigger is sent through the graph.","2","Graph Drum Machine; Graph Synth"
"Attack Points/Separation Select","Chooses which graph nodes trigger sound and how attacks are distributed across voices.","2","Graph Drum Machine; Graph Synth"
"Arrange Button","Rearranges the graph nodes into a symmetric layout without changing connections.","2","Graph Drum Machine; Graph Synth"
"Node Path Select","Chooses how nodes move/wander (e.g. wiggle, orbit, random walk).","2","Graph Drum Machine; Graph Synth"
"Drum-mapping-mode Select","Chooses which geometric feature is mapped to trigger drum hits.","2","Lattice Drum Machine; Shape Drum Machine"
"Strikes-per-frame Slider","Sets how many percussive strikes are generated per animation frame.","2","Hyper Drum Machine; Spiral Drum Machine"
"Subdivisions-per-side Slider","Sets how many subdivisions each side of the shape is divided into.","2","Hyper Drum Machine; Solid Drum Machine"
"Drive Slider","Increases the amount of saturation/drive applied to the signal.","2","Fabric Filter; Rubix Cube Sequencer"
"Depth Control","Sets a simulated depth dimension affecting the sound/physics.","2","L-system Delay; Wave Pool"
"Branch Length Taper Slider","Sets how much shorter successive branches become as the structure grows.","2","L-System; L-System Drum Machine"
"Paint Tool Buttons","Selects which drawing/painting tool is used to place notes or marks.","2","Gesturama; Rattle Snake Skin"
"Frequency Ceiling Slider","Sets the upper frequency limit of the mapped audio range.","2","Automatapoeia; Rattle Snake Skin"
"Mic Button (seed/record from microphone)","Arms the microphone to seed or record input for the instrument.","2","Graph Delay; L-system Delay"
"Angle-to-octave Span","Sets how much turn angle is mapped to pitch octave range.","2","Graph Delay; L-system Delay"
"Mutation Control","Randomizes/mutates the generated structure by a controlled amount.","2","L-system Delay; Micromorph"
"click to load)","Loads an item (e.g. a sample or preset) when clicked.","2","Pink Trombonazoid; Tongued Beasts"
"Loop button","Toggles whether playback loops continuously.","2","Pink Trombonazoid; Syrinx"
"Hold-breath Button (hidden)","Press-and-hold control that manually applies breath pressure while held.","2","Syrinx; Tongued Beasts"
"Physical Tract Length Control","Sets the simulated length of the vocal tract, affecting resonance/pitch.","2","Syrinx; Tongued Beasts"
"Left/Right Asymmetry Control","Adjusts imbalance between the left and right sides of the physical model.","2","Syrinx; Tongued Beasts"
"Gesture Rate Control","Sets the speed multiplier for articulatory gesture playback.","2","Syrinx; Tongued Beasts"
"Biomechanical Prior / Tongue Anatomy Select","Chooses which anatomical model (species) shapes the simulated tongue/vocal tract.","2","Hybrinx; Tongued Beasts"
"Tongue-in-circuit Button","Enables or disables the tongue model within the sound-generating circuit.","2","Hybrinx; Tongued Beasts"
"Technique Select","Chooses the playing technique or articulation style used.","2","Harmonicazoid; Julie Saw"
"Decay Slider","Sets how long the sound takes to decay/ring out.","2","Automatapoeia; SIMD Resonator"
"range Master level","Sets the overall master output volume via a range slider.","2","Drum Roll Please!; Ouroborousel"
"Preset Grid (buttons)","Loads a full parameter preset from a grid of named buttons.","2","Drum Roll Please!; Ouroborousel"
"Modulation Amount Slider","Sets how much modulation is applied to the sound.","2","Chaotic FM; Recursive FM"
"Stages Slider","Sets the number of cascaded oscillator stages used.","2","Cascading FM; Cascading PM"
"Cascade Ratio Slider","Sets the frequency multiplier applied at each stage of the oscillator cascade.","2","Cascading FM; Cascading PM"
"Pitch span slider","Sets how many octaves the pitch mapping spans.","2","Feral Fairy Ferris Ferry; Sorting"
"""Shake"" Button","Excites the physical simulation with a shake impulse to trigger sound/motion.","2","Packing Pressure; Rigidity"
"Move on web toggle","Toggles whether the spider actively moves around its web.","1","Spider Synth"
"Spider skin select","Chooses a different visual/rig specimen for the spider model.","1","Spider Synth"
"i info button","Opens a help tooltip explaining the gesture controls.","1","Spider Synth"
"Reset pose button","Resets the model's pose to its default position.","1","Spider Synth"
"direct canvas drag on any of ~24+ joints to pose/pluck body parts. Voice: Sound+voice preset select","Lets the user drag body joints on canvas to pose or pluck them, and choose a sound/voice preset.","1","Spider Synth"
"Voice text field","Enters text to be spoken by the synthesized voice.","1","Spider Synth"
"Voice level knob","Sets the volume level of the spoken voice.","1","Spider Synth"
"Previous/Next animation arrow buttons","Steps to the previous or next animation preset.","1","Spider Synth"
"Tempo knob-slider","Sets the playback tempo in beats per minute.","1","Spider Synth"
"Movement/intensity slider","Sets how intense/vigorous the body's movement animation is.","1","Spider Synth"
"Metronome checkbox","Toggles a visual metronome beat indicator on or off.","1","Spider Synth"
"Steer joystick","Drags or uses arrow keys to steer the creature's movement.","1","Spider Synth"
"Travel path select","Chooses which path the creature follows while roaming.","1","Spider Synth"
"Travel Speed and Range knobs","Set how fast and how far the creature travels while roaming.","1","Spider Synth"
"Roam-during-animation checkbox","Toggles whether the creature wanders around while its animation plays.","1","Spider Synth"
"Home button","Recenters the creature back to its home position.","1","Spider Synth"
"dynamically built geometry knobs in for each web parameter","Adjusts individual structural parameters of the generated spider web.","1","Spider Synth"
"Random web button","Generates a new randomized web layout.","1","Spider Synth"
"String-voice knobs: Tension .25-4, Damping 0-1, Coupling 0-.4, Decay .08-6s, Register -24..36 semitones, Pitch span .35-1.8x, Attack .001-.35s, Hold 0-.6s, Release .04-4s","Sets physical-modeling string parameters (tension, damping, coupling, decay, register, envelope) shaping the plucked-string voice.","1","Spider Synth"
"Lay silk toggle button","Toggles whether the spider lays new silk as it moves.","1","Spider Synth"
"Clear new silk button","Clears any newly laid silk from the web.","1","Spider Synth"
"Silk level knob","Sets the volume level of the silk-laying sound.","1","Spider Synth"
"Send a fly button","Releases a simulated fly into the scene.","1","Spider Synth"
"Hunt bug button","Triggers the spider to hunt a trapped bug.","1","Spider Synth"
"Bug level knob","Sets the volume level of the bug/fly sound.","1","Spider Synth"
"clicking a trapped fly on canvas also hunts it. Body+web sound mixer: per body-group row with name button, Source select, Level knob","Clicking a trapped fly triggers a hunt, and a mixer sets sound source and level per body part group.","1","Spider Synth"
"global tone knobs","Adjust overall tonal qualities like tuning, brightness, pan, and texture of the sound.","1","Spider Synth"
"Keys-move select","Chooses whether keyboard input moves body poses only or poses plus travel.","1","Spider Synth"
"i info button for gesture-help tooltip","Opens a tooltip explaining how gesture controls work.","1","Roach Synth"
"direct canvas drag on any of 31 rig joints poses/plays that body part. Pose/sound: Sound play/pause transport","Lets the user drag any of the model's rig joints to pose or sound that body part, with playback transport control.","1","Roach Synth"
"Reset pose button. Tone knobs","Resets the pose to default and provides knobs for adjusting the sound's tone.","1","Roach Synth"
"Filter/brightness 0-1 step.01 default.46","Sets the filter cutoff/brightness of the sound's tone.","1","Roach Synth"
"Resonance 0-1 step.01 default.38","Sets the resonance emphasis applied at the filter cutoff.","1","Roach Synth"
"Crust/crunch 0-1 step.01 default.18","Adds a crunchy/distorted texture to the sound.","1","Roach Synth"
"Vowel 0-1 step.01 default.35","Shapes the formant filtering to sound like a chosen vowel.","1","Roach Synth"
"Wing rate 12-220Hz step1 default72","Sets the rate of the simulated wing-flutter/buzz sound.","1","Roach Synth"
"Rattle rate/rhythm .25-4x step.05 default1","Sets the speed/rhythm multiplier of a rattling sound effect.","1","Roach Synth"
"Pan -1..1 step.01 default0. Voice: Sound+voice preset select","Sets left/right stereo position, and chooses a sound/voice preset.","1","Roach Synth"
"Voice textarea","Enters the text phrase to be spoken by the synthesized voice.","1","Roach Synth"
"Voice level knob 0-1 step.01 default.78. Animation: Motion play/pause transport","Sets the volume of the spoken voice and controls play/pause of the body animation.","1","Roach Synth"
"Previous/Next animation arrows","Steps to the previous or next animation preset.","1","Roach Synth"
"Tempo slider 35-240 BPM step1 default108","Sets the playback tempo in beats per minute.","1","Roach Synth"
"Movement/intensity slider 0-1.5 step.01 default1","Sets how intense the movement animation is.","1","Roach Synth"
"Metronome checkbox with 4-dot beat indicator","Toggles a visual 4-dot metronome beat indicator on or off.","1","Roach Synth"
"Antennae-keep-exploring checkbox, default checked. Body sound mixer","Keeps the antennae continuously exploring/moving, and provides a per-body-part sound mixer.","1","Roach Synth"
"Source select","Chooses the sound source assigned to a mixer channel.","1","Roach Synth"
"Level knob 0-1 step.01","Sets the volume level of a mixer channel.","1","Roach Synth"
"Mute and Solo toggle buttons","Mutes or solos an individual mixer channel.","1","Roach Synth"
"Master level slider 0-.8 step.01 default.5. MIDI panel: Release MIDI button","Sets the overall master output volume and releases stuck MIDI notes.","1","Roach Synth"
"Master level slider 0-1 step.01 default.65","Sets the overall master output volume.","1","Shapes"
"Audio on/off button. Dimension select","Turns audio on/off and chooses whether the shape is rendered in 2D, 3D, or 4D.","1","Shapes"
"Transport rack: Play/pause button","Starts or stops the playhead transport.","1","Shapes"
"Playhead position slider 0-1 step.0005 default.18","Scrubs the playhead to a specific position in the cycle.","1","Shapes"
"Playhead speed slider 0-4 step.01 default.12 cyc/s","Sets how fast the playhead cycles, in cycles per second.","1","Shapes"
"Divisions slider 1-16 step1 default2","Sets how many rhythmic subdivisions the playhead uses.","1","Shapes"
"Reader direction toggle button","Switches the playhead reader's travel direction.","1","Shapes"
"Motion-shape choice-switch","Chooses whether playhead motion loops or ping-pongs back and forth.","1","Shapes"
"Shape auto-rotate play button","Starts or stops automatic rotation of the shape.","1","Shapes"
"Percussion sound bank select","Chooses which drum/percussion sound bank is used.","1","Shapes"
"Playhead spacing layout with reset-spacing button and per-playhead draggable phase slider handles. Shape rack: Form select","Adjusts relative spacing/phase of multiple playheads and lets the user choose the shape's form.","1","Shapes"
"3 live rotary knobs, drag/keyboard operable, remapped per dimension","Three rotary knobs that control different shape parameters depending on the active dimension (2D/3D/4D).","1","Shapes"
"3D=Surface yaw/pitch/Y rotation -180..180 each","Rotates the 3D surface around its yaw, pitch, and Y axes.","1","Shapes"
"4D=XW/YW/ZW each -180..180deg). Form bank - Reset-form button","Rotates the 4D shape through its XW/YW/ZW planes and resets the shape form to default.","1","Shapes"
"Shared-profile-kind select","Chooses the base 2D profile shape (polygon, star, circle, or open line) used to build the form.","1","Shapes"
"Sides/points slider 1-32 step1 default4","Sets the number of sides or points on the polygon/star shape.","1","Shapes"
"Star depth slider .05-.82 step.01 default.48","Sets how deep the star shape's points cut inward.","1","Shapes"
