"ID","Name","Current category ID","Current category","Current category order","Current instrument order","Current secondary tags","Favorite","Planned category","Planned category order","Planned instrument order","Decision","Related instruments","Notes"
"ourorourobouroboros","Ourorourobouroboros","barber-shop-poles","Barber Shop Poles","8","5","","no","","","","Review","ouroborousel","Related implementation with additional state and different defaults; do not delete from code similarity alone."
"ouroboros","Ouroboros","barber-shop-poles","Barber Shop Poles","8","6","","no","","","","Review","",""
"ouroboros-borealis","Ouroboros Borealis","barber-shop-poles","Barber Shop Poles","8","7","","no","","","","Review","",""
"sandy-syrup-delay","Sandy Syrup Delay","barber-shop-poles","Barber Shop Poles","8","8","","no","","","","Review","",""
"candy-coil-delay","Candy Coil Delay","barber-shop-poles","Barber Shop Poles","8","9","","no","","","","Review","",""
"l-system","L-System","fractals-recursion","Fractals & Recursion","9","1","","yes","","","","Review","l-systems",""
"recursion","Recursion","fractals-recursion","Fractals & Recursion","9","2","","no","","","","Review","",""
"enveloper","Enveloper","fractals-recursion","Fractals & Recursion","9","3","Sequencers","no","","","","Review","",""
"julia","Julia","fractals-recursion","Fractals & Recursion","9","4","","no","","","","Review","",""
"striped-staircase","Striped Staircase","fractals-recursion","Fractals & Recursion","9","5","","no","","","","Review","",""
"recursive-fm","Recursive FM","chaotic-synths","Chaotic Synths","10","1","Fractals & Recursion","no","","","","Review","",""
"recursive-pm","Recursive PM","chaotic-synths","Chaotic Synths","10","2","Fractals & Recursion","no","","","","Review","",""
"chaotic-fm","Chaotic FM","chaotic-synths","Chaotic Synths","10","3","Fractals & Recursion","no","","","","Review","",""
"chaotic-pm","Chaotic PM","chaotic-synths","Chaotic Synths","10","4","Fractals & Recursion","no","","","","Review","",""
"cascading-fm","Cascading FM","chaotic-synths","Chaotic Synths","10","5","Fractals & Recursion","no","","","","Review","",""
"cascading-pm","Cascading PM","chaotic-synths","Chaotic Synths","10","6","Fractals & Recursion","no","","","","Review","",""
"weierstrass","Weierstrass","chaotic-synths","Chaotic Synths","10","7","Fractals & Recursion","no","","","","Review","",""
"moire-drone","Fabric Filter","misc","Misc","11","1","","no","","","","Review","",""
"playhead-paint","Playhead Paint","misc","Misc","11","2","","no","","","","Review","",""
"boidzoid","Boidzoid","misc","Misc","11","3","","no","","","","Review","",""
"puggler","Puggler the Punk Rock Jugger","misc","Misc","11","4","","no","","","","Review","",""
"vector-flight","Vector Flight","misc","Misc","11","5","","no","","","","Review","",""
"gesturama","Gesturama","misc","Misc","11","6","","no","","","","Review","",""
"image-to-instrument-3","Wheel of Organs","misc","Misc","11","7","","no","","","","Review","",""
"orbital-ferris","Feral Fairy Ferris Ferry","misc","Misc","11","8","","no","","","","Review","",""
"fm-drums","FM Drums","instruments","Instruments","12","1","Drum Machines","no","","","","Review","",""
"linear-drums","Rattlesnake","instruments","Instruments","12","2","Drum Machines","no","","","","Review","",""
"karplus-strong","Karplus Strong","instruments","Instruments","12","3","","no","","","","Review","",""
"karplus-carpet","Karplus Carpet","instruments","Instruments","12","4","","no","","","","Review","",""
"surround-field","Surround for Safety","instruments","Instruments","12","5","","no","","","","Review","",""
"sample-drums","Sample Drums","instruments","Instruments","12","6","Drum Machines","no","","","","Review","",""
"object-forge","Dentaphone","instruments","Instruments","12","7","","no","","","","Review","",""
"cellular-automata","Automatapoeia","algorithmic-sequencers","Algorithmic Sequencers","13","1","","yes","","","","Review","",""
"sorting-algorithms","Sorting","algorithmic-sequencers","Algorithmic Sequencers","13","2","","no","","","","Review","",""
"dijkstra","DJ Dijkstra","algorithmic-sequencers","Algorithmic Sequencers","13","3","","no","","","","Review","",""
"wave-pool","Wave Pool","experiments","Works in progress","14","1","","no","","","","Review","",""
"penrose-tilings","Penrose Tilings","experiments","Works in progress","14","2","","no","","","","Review","",""
"yoyodyne","Yoyodyne","experiments","Works in progress","14","3","","no","","","","Review","",""
"hanoi","Hanoi Carillon","experiments","Works in progress","14","4","","no","","","","Review","",""
"minimax","Alpha-Beta Minimax","experiments","Works in progress","14","5","","no","","","","Review","",""
"nqueens","N-Queens Backtracker","experiments","Works in progress","14","6","","no","","","","Review","",""
"euclid","Euclidean Pulse","experiments","Works in progress","14","7","","no","","","","Review","",""
"alien-larynx","Alien Larynx","experiments","Works in progress","14","8","","no","","","","Redesign","throatazoid","Keep as survivor of Throatazoid pair; owner design notes pending. Pause further UI abstraction."
"hyper-syrinx","Hyper-Syrinx","experiments","Works in progress","14","9","","no","","","","Review","",""
"morphynx","Morphynx","experiments","Works in progress","14","10","","no","","","","Review","",""
"escher-tessellation","Escher","experiments","Works in progress","14","11","","no","","","","Review","",""
"plasma-ball","Plasma Ball","experiments","Works in progress","14","12","","no","","","","Review","",""
"simd-resonator","SIMD Resonator","experiments","Works in progress","14","13","","no","","","","Review","",""
"order-tones","Order Tones","experiments","Works in progress","14","14","","no","","","","Review","",""
"morphazoidical","Morphazoidical","experiments","Works in progress","14","15","","no","","","","Review","",""
"bell-square","Bell Square","experiments","Works in progress","14","16","","no","","","","Review","",""
"entanglement-dance","Entanglement Dance","experiments","Works in progress","14","17","","no","","","","Review","",""
"quantum-square-dance","Quantum Square Dance","experiments","Works in progress","14","18","","no","","","","Review","",""
"annealogue","Annealogue","experiments","Works in progress","14","19","","no","","","","Review","",""
"gravity-walk","Gravity Walk","experiments","Works in progress","14","20","","no","","","","Review","",""
"ricochet","Ricochet","experiments","Works in progress","14","21","","no","","","","Review","",""
"rigidity","Rigidity","experiments","Works in progress","14","22","","no","","","","Review","",""
"rolling-measure","Rolling Measure","experiments","Works in progress","14","23","","no","","","","Review","",""
"falling-forms","Falling Forms","experiments","Works in progress","14","24","","no","","","","Review","",""
"charge-garden","Charge Garden","experiments","Works in progress","14","25","","no","","","","Review","",""
"packing-pressure","Packing Pressure","experiments","Works in progress","14","26","","no","","","","Review","",""
"geodesic-drift","Geodesic Drift","experiments","Works in progress","14","27","","no","","","","Review","",""
"kinetic-hull","Kinetic Hull","experiments","Works in progress","14","28","","no","","","","Review","",""
"moire-organ","RISSET-MOIRE","experiments","Works in progress","14","29","","no","","","","Review","",""
"chladni-plate","Chladni Plate","experiments","Works in progress","14","30","","no","","","","Review","",""
"spring-choir","Spring Choir","experiments","Works in progress","14","31","","no","","","","Review","",""
"gear-ratio-drums","Gear Ratio Drums","experiments","Works in progress","14","32","","no","","","","Review","",""
"prime-sieve","Prime Sieve","experiments","Works in progress","14","33","","no","","","","Review","",""
"lissajous-orbits","Lissajous Orbits","experiments","Works in progress","14","34","","no","","","","Review","",""
"pendulum-wave","Pendulum Wave","experiments","Works in progress","14","35","","no","","","","Review","",""
"double-pendulum","Double Pendulum","experiments","Works in progress","14","36","","no","","","","Review","",""
"reaction-diffusion","Reaction-Diffusion","experiments","Works in progress","14","37","","no","","","","Review","",""
"atomic-orbitals","Atomic Orbitals","experiments","Works in progress","14","38","","no","","","","Review","",""
"dna-translator","DNA Translator","experiments","Works in progress","14","39","","no","","","","Review","",""
"neural-pulse","Neural Pulse","experiments","Works in progress","14","40","","no","","","","Review","",""
"fourier-epicycles","Fourier Epicycles","experiments","Works in progress","14","41","","no","","","","Review","",""
"gravity-lens","Gravity Lens","experiments","Works in progress","14","42","","no","","","","Review","",""
"cantor-lock","Cantor Lock","experiments","Works in progress","14","43","","no","","","","Review","",""
"escape-dust","Escape Dust","experiments","Works in progress","14","44","","no","","","","Review","",""
"linebreaker","Linebreaker","experiments","Works in progress","14","45","","no","","","","Review","",""
